counter,date_time,latitude,longitude,temperature,humidity,pressure,pitch,roll,yaw,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,motion_detected,humans_detected
1,2023-05-12 12:46:08,-20.2800441,66.77867751,36.84051514,26.10334587,1003.663574,334.09431,68.26318502,248.996435,0.01634800062,0.03562399745,0.01219999976,0.008111972362,0.009121350944,-0.004014741629,-4.093542576,-0.09361582249,-7.216313362,0,0
2,2023-05-12 12:46:08,-20.26793855,66.78894207,37.51616287,24.71122551,1003.647461,334.2503405,68.49534315,248.9856228,0.01830000058,0.03660000116,0.0153719997,0.00602985546,0.007091663778,-0.0005778167397,-5.652377605,-0.2404641062,-10.395998,0,0
3,2023-05-12 12:46:08,-20.26217246,66.79383043,36.53825378,26.05439377,1003.652588,334.2744084,68.67108392,249.0858695,0.01854399964,0.03684400022,0.01146799978,0.008622612804,0.006621912122,-0.0007061623037,-6.211312294,-0.3195365667,-11.45822525,0,0
4,2023-05-12 12:46:08,-20.25659606,66.79855747,36.5915947,26.31751823,1003.658203,334.3088616,68.79137721,249.2291873,0.01903199963,0.03830799833,0.01317599975,0.009038031101,0.005562514067,-0.003603313118,-6.320466995,-0.2308207899,-11.74024868,0,0
5,2023-05-12 12:46:08,-20.25064474,66.80360176,36.53825378,26.26550484,1003.665283,334.3723772,68.91536563,249.3676216,0.01805599965,0.03684400022,0.01219999976,0.006708804518,0.006995558739,-0.002215038985,-6.534535885,-0.3314184546,-12.01033974,0,0
6,2023-05-12 12:46:08,-20.24466107,66.80867289,37.17834091,25.98708153,1003.664551,334.378287,69.02719632,249.5130773,0.01805599965,0.03684400022,0.01317599975,0.004196383059,0.003258757293,-0.003020703793,-6.609827042,-0.2434937358,-12.26866531,0,0
7,2023-05-12 12:46:08,-20.2390166,66.81345602,37.08943939,26.17065811,1003.671387,334.4417122,69.05624511,249.616302,0.01927600056,0.03684400022,0.01463999972,0.003542702645,0.005058079958,-0.002556124702,-6.786669254,-0.1360994577,-12.79114723,0,0
8,2023-05-12 12:46:09,-20.23306816,66.81849617,36.80495453,25.95954514,1003.668701,334.4520872,69.10152927,249.7614913,0.0204959996,0.03733199835,0.01146799978,0.005509812385,0.005572572351,-0.002688867971,-6.620810986,-0.2185814828,-13.16303635,0,0
9,2023-05-12 12:46:09,-20.22709658,66.82355536,37.21389771,26.26244545,1003.678467,334.4344551,69.04438107,250.0371441,0.01878799871,0.03733199835,0.01317599975,0.004784412682,0.005197614431,-0.0007903017104,-6.439471722,-0.115224421,-12.5803194,0,0
10,2023-05-12 12:46:09,-20.22120135,66.82854929,36.85829926,26.95697594,1003.679932,334.4754533,68.9736408,250.2372071,0.02000799961,0.03708799928,0.01390799973,0.005677204579,0.003636017442,-0.00281569548,-6.436261177,0.005829439964,-12.34473419,0,0
